iteration	time	leafsWith	leafsWithout
11	2.7730084550275933	5	4
11	3.1021766320621396	4	21
11	1.6565534130223227	6	1
11	2.85705563674793	4	1
11	3.023309394954424	1	1
11	3.020857929141613	1	2
11	0.5360033270179372	1	3
11	2.647832005429251	1	1
11	1.5851250196129456	1	3
11	0.4280930749673928	1	1
11	3.1373699720238335	25	2
11	3.0104091271317657	1	2
11	4.291492107601073	5	44
12	1.617639323555153	1	3
12	1.6173027063343284	1	2
12	2.630250510266279	1	2
12	3.2795277381505343	1	53
12	3.1884843449707603	25	6
12	2.5354071171829275	1	1
12	3.0447014393946006	1	1
12	1.3605260599429982	35	1
12	2.7072381394707747	1	16
12	2.9156530109258085	17	1
12	3.300477500244284	54	8
12	1.5356757880791463	1	4
12	2.793841028605243	5	7
12	1.4959431207076648	1	1
12	3.2199065389808936	30	23
12	0.6553104884193033	8	12
12	2.994053348789663	1	1
12	1.5769403484793543	2	2
12	2.690625730386188	61	2
12	0.5262584587969457	1	5
12	2.8662902458643487	4	1
12	2.9848119389077397	1	1
12	3.560080595886234	5	44
12	3.124949037348131	25	2
12	3.149540923617252	9	112
12	0.4035237267194134	1	1
12	3.195687926784302	148	1
12	1.8081677795493363	6	1
12	3.0773870121933555	4	1
12	2.3622549168125886	4	1
13	3.2349124300239396	30	23
13	3.03072980565247	2	2
13	2.725322813927164	5	4
13	1.516506811423767	1	2
13	0.5381274960934377	1	2
13	2.406803278914566	1	1
13	2.65905509103402	61	2
13	3.29566898378647	1	53
13	2.942960573404747	1	1
13	2.9158344776971035	17	1
13	2.7002688268841837	1	2
13	0.5193607657830341	1	5
13	2.689753940253979	1	5
13	4.545706353279456	5	345
13	3.3087855785424267	54	6
13	3.198666223601407	25	6
13	3.109708039719891	25	2
13	2.64433581603123	1	1
13	1.1873416372799	35	1
13	0.7105344570061334	8	27
13	2.5091344483117552	4	1
13	0.3837510457425708	1	1
13	1.5984902303450212	1	3
13	1.6535297793490429	6	1
13	1.6339053752136579	2	1
